                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.48202,                0.44734,                0.52794,                0.88977,                0.99892,                      1,                  0.995,                0.93685,                0.99892,                      1,                  0.995,                0.97529,                0.37313,                0.37677,                0.49815,                0.78676,               0.001307,               0.001307,               0.001307
                     38,                0.44338,                0.47298,                0.46291,                0.87342,                0.99904,                      1,                  0.995,                0.91171,                0.99904,                      1,                  0.995,                 0.9458,                0.39846,                 0.4725,                0.45315,                0.79791,              0.0012872,              0.0012872,              0.0012872
                     39,                0.43795,                0.43501,                0.46602,                0.87034,                0.99868,                      1,                  0.995,                0.95629,                0.99868,                      1,                  0.995,                0.97513,                 0.3218,                0.32259,                0.41573,                 0.7672,              0.0012674,              0.0012674,              0.0012674
                     40,                0.41193,                0.44688,                0.43769,                0.86531,                  0.995,                      1,                  0.995,                0.94977,                  0.995,                      1,                  0.995,                0.98103,                0.30455,                0.32537,                0.41164,                0.76305,              0.0012476,              0.0012476,              0.0012476
                     41,                0.40018,                0.37759,                0.43904,                0.86141,                0.98828,                      1,                  0.995,                0.97442,                0.98828,                      1,                  0.995,                0.99245,                 0.2825,                0.30889,                 0.4186,                0.75862,              0.0012278,              0.0012278,              0.0012278
                     42,                0.44272,                0.43462,                0.43331,                0.88291,                0.99529,                      1,                  0.995,                0.92471,                0.99529,                      1,                  0.995,                0.98063,                0.33059,                0.30731,                0.48114,                0.77326,               0.001208,               0.001208,               0.001208
                     43,                0.41787,                0.38468,                0.43379,                 0.8458,                0.99887,                      1,                  0.995,                0.92676,                0.99887,                      1,                  0.995,                0.96706,                0.37646,                0.31279,                 0.6203,                 0.7861,              0.0011882,              0.0011882,              0.0011882
                     44,                0.42446,                0.42577,                0.43924,                0.86172,                0.99796,                      1,                  0.995,                0.95022,                0.99796,                      1,                  0.995,                0.98528,                0.33206,                0.29511,                0.56681,                0.76735,              0.0011684,              0.0011684,              0.0011684
                     45,                0.38983,                   0.37,                0.40185,                0.84385,                0.99793,                      1,                  0.995,                0.96974,                0.99793,                      1,                  0.995,                0.99034,                0.27209,                0.28018,                  0.473,                0.75115,              0.0011486,              0.0011486,              0.0011486
                     46,                0.39322,                0.36034,                0.40956,                0.86741,                0.99863,                      1,                  0.995,                0.95024,                0.99863,                      1,                  0.995,                0.98719,                0.28449,                0.30015,                0.38529,                0.75919,              0.0011288,              0.0011288,              0.0011288
